Name,Taxon ID,Type,Reference ID,GI ID
Bacteroides timonensis,1470345,species,NZ_CBVI010000093.1,763412443
Bacteroides timonensis,1470345,species,NZ_CBVI010000094.1,763412616
Bacteroides timonensis,1470345,species,NZ_CBVI010000095.1,763412633
Bacteroides timonensis,1470345,species,NZ_CBVI010000096.1,763412651
Bacteroides timonensis,1470345,species,NZ_CBVI010000097.1,763412918
Bacteroides timonensis,1470345,species,NZ_CBVI010000099.1,763412957
Bacteroides timonensis,1470345,species,NZ_CBVI010000100.1,763412999
Bacteroides timonensis,1470345,species,NZ_CBVI010000101.1,763413063
Bacteroides timonensis,1470345,species,NZ_CBVI010000102.1,763413114
Bacteroides timonensis,1470345,species,NZ_CBVI010000104.1,763413217
Bacteroides timonensis,1470345,species,NZ_CBVI010000105.1,763413272
Bacteroides timonensis,1470345,species,NZ_CBVI010000106.1,763413358
Bacteroides timonensis,1470345,species,NZ_CBVI010000107.1,763413381
Bacteroides timonensis,1470345,species,NZ_CBVI010000108.1,763413441
Bacteroides timonensis,1470345,species,NZ_CBVI010000109.1,763413459
Bacteroides timonensis,1470345,species,NZ_CBVI010000110.1,763413518
Bacteroides timonensis,1470345,species,NZ_CBVI010000111.1,763413545
Bacteroides timonensis,1470345,species,NZ_CBVI010000112.1,763413661
Bacteroides timonensis,1470345,species,NZ_CBVI010000115.1,763413755
Bacteroides timonensis,1470345,species,NZ_CBVI010000116.1,763413830
Bacteroides timonensis,1470345,species,NZ_CBVI010000117.1,763413888
Bacteroides timonensis,1470345,species,NZ_CBVI010000118.1,763413950
Bacteroides timonensis,1470345,species,NZ_CBVI010000120.1,763414063
Bacteroides timonensis,1470345,species,NZ_CBVI010000121.1,763414070
Bacteroides timonensis,1470345,species,NZ_CBVI010000122.1,763414100
Bacteroides timonensis,1470345,species,NZ_CBVI010000123.1,763414162
Bacteroides timonensis,1470345,species,NZ_CBVI010000124.1,763414185
Bacteroides timonensis,1470345,species,NZ_CBVI010000125.1,763414271
Bacteroides timonensis,1470345,species,NZ_CBVI010000126.1,763414286
Bacteroides timonensis,1470345,species,NZ_CBVI010000127.1,763414344
Bacteroides timonensis,1470345,species,NZ_CBVI010000128.1,763414363
Bacteroides timonensis,1470345,species,NZ_CBVI010000129.1,763414393
